URL,Total,Total Detected
https://github.com/ckiwun/CGO_Final/commit/2217a3f27d1a7f03e5a962770b839bb2f33841b6#diff-b750ce3fdb14f9a2ed81566ba7e62ecfL259,1,1
https://github.com/ckiwun/CGO_Final/commit/2217a3f27d1a7f03e5a962770b839bb2f33841b6#diff-b750ce3fdb14f9a2ed81566ba7e62ecfL328,1,1
https://github.com/ckiwun/CGO_Final/commit/2217a3f27d1a7f03e5a962770b839bb2f33841b6#diff-b750ce3fdb14f9a2ed81566ba7e62ecfR329,1,1
https://github.com/ckiwun/CGO_Final/commit/2217a3f27d1a7f03e5a962770b839bb2f33841b6#diff-b750ce3fdb14f9a2ed81566ba7e62ecfL394,1,1
https://github.com/ckiwun/CGO_Final/commit/2217a3f27d1a7f03e5a962770b839bb2f33841b6#diff-b750ce3fdb14f9a2ed81566ba7e62ecfL477,1,1
https://github.com/hardikbansal/CycleGAN/commit/f3cde5a3d4e83e2624072e69f7e32dc70af6911f#diff-7e81115cf79c1edeec1c6ba1082c2d3dL26,1,1
https://github.com/JayYip/cws-tensorflow/commit/4469dae1326bcc53b29913dd1b701c3b1a99824d#diff-d0f0ead2c3c3844565e9ee2973802522L34,1,1
https://github.com/KienHuynh/FCN-CTSCAN/commit/e789ae30fa89ce2ee5d708c572394faffeb23a9a#diff-03c2a16ca724e0a0cda5faf935dfb481L30,1,0
https://github.com/KienHuynh/FCN-CTSCAN/commit/e789ae30fa89ce2ee5d708c572394faffeb23a9a#diff-03c2a16ca724e0a0cda5faf935dfb481L33,1,0
https://github.com/Kyushik/DRL/commit/cf2d54ad3d316c3d1f8f258bf64be6db35e6bd35#diff-09a86ac562374751b6e8ad58f652f4eaL176,1,1
https://github.com/bornabesic/cnn-text-classification/commit/8fea04426c70fe112e659586479bb6dd5c73c652#diff-9bfd36fda4a9711ad4ce6bbee4ac1358L114,1,0
https://github.com/bornabesic/cnn-text-classification/commit/8fea04426c70fe112e659586479bb6dd5c73c652#diff-f8816d556dd1e85c4e55c7cf6a5b5f59L125,1,0
https://github.com/bornabesic/cnn-text-classification/commit/8fea04426c70fe112e659586479bb6dd5c73c652#diff-1e90386e7e40c8c603f8c4fb38f0b979L104,1,0
https://github.com/bornabesic/cnn-text-classification/commit/8fea04426c70fe112e659586479bb6dd5c73c652#diff-44815176509d4d2f5f9b6f85a982ba31L104,1,0
https://github.com/melkonyan/BA_WassersteinGAN/commit/6e02f3c6b4aea0d38bb9534d9fb2891defe307f4#diff-620fe4eecf6c606b75106f6a2e339f1fL45,1,0
https://github.com/zhfzhmsra/RecTools__test_tensorflow_deeprec/commit/334febb4cb011963d3a96c08a07d36d2bc5164ee#diff-8d517272a839188d71f0296647de2159L18,1,1
https://github.com/zhfzhmsra/RecTools__test_tensorflow_deeprec/commit/334febb4cb011963d3a96c08a07d36d2bc5164ee#diff-8d517272a839188d71f0296647de2159L30,1,1
https://github.com/zhfzhmsra/RecTools__test_tensorflow_deeprec/commit/334febb4cb011963d3a96c08a07d36d2bc5164ee#diff-8d517272a839188d71f0296647de2159L32,1,1
https://github.com/mvpcamus/crp/commit/cae866d373bbbf787839c21458b1895b9a45d8f6#diff-afcea76d45b7d76301b048db4785cf37L92,1,0
https://github.com/mvpcamus/crp/commit/cae866d373bbbf787839c21458b1895b9a45d8f6#diff-afcea76d45b7d76301b048db4785cf37L98,1,0
https://github.com/a10y/squadgoals/commit/0659c5bb41bcea2eb9d5728c1521c614676a42ce#diff-39ecd635a182d16b878225e3848c7c54L174,1,1
,,
https://github.com/MrGemy95/DL-Playground/commit/8d5d34474b3d49bdf6942ef68d82df17a780255e#diff-27402cd9b31b6babb739d5445a1f39caL22,1,1
https://github.com/MrGemy95/DL-Playground/commit/8d5d34474b3d49bdf6942ef68d82df17a780255e#diff-27402cd9b31b6babb739d5445a1f39caL24,1,1
https://github.com/MrGemy95/DL-Playground/commit/8d5d34474b3d49bdf6942ef68d82df17a780255e#diff-c0b5b63bf5a28ea5eadab2e0c5b8e99eL37,1,1
